lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
51.645918,-0.373449,WD23 2LA,Hertsmere,East of England,51.645903,-0.373296,200,OK
51.52679,-2.493884,BS36 1QP,South Gloucestershire,South West,51.526799,-2.493826,200,OK
51.551389,0.674177,SS0 0AX,Southend-on-Sea,East of England,51.551386,0.675086,200,OK
51.651685,0.621944,CM3 5UW,Chelmsford,East of England,51.651685,0.621944,200,OK
52.573702,-1.094699,LE18 3TY,Oadby and Wigston,East Midlands,52.573721,-1.094705,200,OK
51.441169,-0.193704,SW18 4RX,Wandsworth,London,51.441169,-0.193704,200,OK
51.358761,-1.153129,RG26 4QJ,Basingstoke and Deane,South East,51.358761,-1.153129,200,OK
51.930794,-0.921752,MK18 2LF,Buckinghamshire,South East,51.931142,-0.922441,200,OK
53.478305,-2.110496,OL7 0NW,Tameside,North West,53.478305,-2.110496,200,OK
51.354613,-0.247449,KT17 2BJ,Epsom and Ewell,South East,51.354223,-0.24722,200,OK
52.695025,-4.051926,LL38 2EZ,Gwynedd,,52.695025,-4.051926,200,OK
55.95184,-3.21984,EH4 3BT,City of Edinburgh,,55.95184,-3.21984,200,OK
51.429965,-0.328363,TW11 8AB,Richmond upon Thames,London,51.429965,-0.328363,200,OK
53.190676,-1.313506,S44 5DL,Bolsover,East Midlands,53.190676,-1.313506,200,OK
51.408295,-0.533285,TW20 8UE,Runnymede,South East,51.408295,-0.533285,200,OK
53.651479,-2.968631,PR9 7EZ,Sefton,North West,53.651829,-2.9687,200,OK
53.757368,-1.452321,LS26 8PE,Leeds,Yorkshire and The Humber,53.757368,-1.452321,200,OK
51.280548,-0.106994,CR3 5AS,Tandridge,South East,51.280548,-0.106994,200,OK
52.413467,-1.591109,CV5 7FF,Coventry,West Midlands,52.413467,-1.591109,200,OK
53.327859,-1.481376,S8 7RP,Sheffield,Yorkshire and The Humber,53.327859,-1.481376,200,OK
51.664539,-3.840564,SA10 6TS,Neath Port Talbot,,51.664053,-3.840602,200,OK
52.589231,-2.133305,WV1 4AG,Wolverhampton,West Midlands,52.589231,-2.133305,200,OK
52.910383,-1.476174,DE23 8GB,Derby,East Midlands,52.910356,-1.4762,200,OK
53.299126,-1.474253,S18 1SA,North East Derbyshire,East Midlands,53.299154,-1.474267,200,OK
51.506973,-0.325647,W13 9DQ,Ealing,London,51.507212,-0.325956,200,OK
54.214517,-2.803451,LA7 7JD,Westmorland and Furness,North West,54.214517,-2.803451,200,OK
51.586354,-0.34063,HA1 1RZ,Harrow,London,51.586354,-0.34063,200,OK
57.152183,-2.085468,AB24 5EA,Aberdeen City,,57.152183,-2.085468,200,OK
53.353878,-1.450397,S14 1LT,Sheffield,Yorkshire and The Humber,53.353878,-1.450397,200,OK
51.910002,-0.676248,LU7 2PE,Central Bedfordshire,East of England,51.909993,-0.676248,200,OK
51.545577,0.121275,RM8 2DZ,Barking and Dagenham,London,51.545577,0.121275,200,OK
53.961304,-0.999793,,,,,,200,OK
51.864476,-2.243782,GL1 1NZ,Gloucester,South West,51.864476,-2.243782,200,OK
54.885694,-2.980529,CA2 6TR,Cumberland,North West,54.885694,-2.980529,200,OK
57.150496,-2.284922,AB32 6QH,Aberdeenshire,,57.150587,-2.284361,200,OK
51.790064,-0.18396,AL7 4BG,Welwyn Hatfield,East of England,51.790052,-0.183935,200,OK
57.446497,-2.781964,AB54 8DX,Aberdeenshire,,57.446497,-2.781964,200,OK
51.764978,-0.453848,HP2 5NX,Dacorum,East of England,51.764978,-0.453848,200,OK
51.326325,-0.15282,CR5 2QE,Sutton,London,51.325971,-0.153179,200,OK
50.862925,-1.394318,SO45 6EU,New Forest,South East,50.862925,-1.394318,200,OK
52.455337,-1.982341,B32 2QX,Birmingham,West Midlands,52.455337,-1.982341,200,OK
50.992176,-1.38234,SO53 1DZ,Eastleigh,South East,50.992176,-1.38234,200,OK
51.406576,-0.150595,CR4 1BW,Merton,London,51.406576,-0.150595,200,OK
53.038801,-3.615372,LL21 0RY,Conwy,,53.038801,-3.615372,200,OK
51.286424,-2.945267,BS24 0DA,Somerset,South West,51.286424,-2.945267,200,OK
52.059197,1.234108,IP5 1JN,East Suffolk,East of England,52.059197,1.234108,200,OK
52.587349,-2.136015,WV1 4PY,Wolverhampton,West Midlands,52.587349,-2.136015,200,OK
52.023114,-0.679557,MK7 7RS,Milton Keynes,South East,52.023118,-0.67998,200,OK
51.516879,-0.148883,W1G 9YB,Westminster,London,51.516879,-0.148883,200,OK
52.973113,-2.102276,ST3 7AJ,Stoke-on-Trent,West Midlands,52.973139,-2.10229,200,OK
53.552952,-1.489907,S70 6BX,Barnsley,Yorkshire and The Humber,53.552952,-1.489907,200,OK
51.206294,-1.6679,SP9 7UJ,Test Valley,South East,51.206294,-1.6679,200,OK
55.78494,-4.000305,ML1 3WH,North Lanarkshire,,55.78494,-4.000305,200,OK
52.535361,-1.044525,LE8 8UZ,Harborough,East Midlands,52.535361,-1.044525,200,OK
51.566043,-0.306164,HA0 3PE,Brent,London,51.566096,-0.306754,200,OK
53.752623,-2.365404,BB5 1JR,Hyndburn,North West,53.752539,-2.365449,200,OK
51.0425,-3.313568,TA4 2ZH,Somerset,South West,51.042505,-3.313556,200,OK
53.232568,-0.557695,LN1 1SJ,Lincoln,East Midlands,53.232568,-0.557695,200,OK
51.717101,0.509654,CM2 7AU,Chelmsford,East of England,51.717101,0.509654,200,OK
51.501011,0.065763,E16 2LY,Newham,London,51.501011,0.065763,200,OK
53.116889,-1.121358,NG21 0DX,Newark and Sherwood,East Midlands,53.116889,-1.121358,200,OK
53.483331,-2.437812,M29 7LW,Salford,North West,53.483331,-2.437812,200,OK
51.746998,-3.641499,SA11 5RH,Neath Port Talbot,,51.746998,-3.641499,200,OK
51.048361,0.507868,TN18 4AL,Tunbridge Wells,South East,51.048361,0.507868,200,OK
55.86712,-4.178619,G33 2SN,Glasgow City,,55.86712,-4.178619,200,OK
52.164059,-0.484385,MK41 6EF,Bedford,East of England,52.164059,-0.484385,200,OK
55.864721,-4.30743,G3 8RS,Glasgow City,,55.864721,-4.30743,200,OK
52.108166,-0.494662,MK42 7EF,Bedford,East of England,52.108166,-0.494662,200,OK
54.457318,-6.34519,BT66 8PQ,"Armagh City, Banbridge and Craigavon",,54.457188,-6.344872,200,OK
51.533835,0.019797,E13 0NG,Newham,London,51.533835,0.019797,200,OK
52.127101,0.970737,IP7 7RQ,Mid Suffolk,East of England,52.127101,0.970737,200,OK
50.839603,-0.248634,BN43 6LA,Adur,South East,50.839603,-0.248634,200,OK
53.318683,-1.32537,S21 1HQ,North East Derbyshire,East Midlands,53.318665,-1.325355,200,OK
52.464424,-2.141096,DY8 4JR,Dudley,West Midlands,52.464424,-2.141096,200,OK
